CODE,NAME,NAME_EN,SEATS,MS_FB_PARE,MS_FB,WIKIDATA
LC 1,香港島,Hong Kong Island,6,country:hk,country:hk/legislative-council-constituency:lc1,Q3248921
LC 2,九龍西,Kowloon West,6,country:hk,country:hk/legislative-council-constituency:lc2,Q10879625
LC 3,九龍東,Kowloon East,5,country:hk,country:hk/legislative-council-constituency:lc3,Q10879608
LC 4,新界西,New Territories West,9,country:hk,country:hk/legislative-council-constituency:lc4,Q1099862
LC 5,新界東,New Territories East,9,country:hk,country:hk/legislative-council-constituency:lc5,Q11083612
